jockey_id,encoded_id
01075,0.0
01177,1.0
01167,2.0
01118,3.0
01162,4.0
05386,5.0
01179,6.0
01169,7.0
01173,8.0
01043,9.0
01029,10.0
01126,11.0
01183,12.0
01184,13.0
01009,14.0
01135,15.0
01096,16.0
01088,17.0
01091,18.0
01134,19.0
01140,20.0
01109,21.0
00422,22.0
01164,23.0
00733,24.0
01122,25.0
01150,26.0
01170,27.0
01127,28.0
01018,29.0
01025,30.0
01117,31.0
01092,32.0
01143,33.0
01171,34.0
00660,35.0
01116,36.0
00726,37.0
01032,38.0
00689,39.0
01124,40.0
01161,41.0
01133,42.0
01153,43.0
01142,44.0
01141,45.0
05212,46.0
01130,47.0
00666,48.0
01154,49.0
01093,50.0
01102,51.0
01014,52.0
01119,53.0
01181,54.0
00732,55.0
01182,56.0
01160,57.0
01174,58.0
01163,59.0
01168,60.0
01147,61.0
01095,62.0
01128,63.0
01180,64.0
01114,65.0
01062,66.0
01125,67.0
01077,68.0
01034,69.0
05525,70.0
01178,71.0
05203,72.0
01157,73.0
01165,74.0
01099,75.0
01176,76.0
01166,77.0
01115,78.0
01112,79.0
05429,80.0
05243,81.0
01015,82.0
01146,83.0
01156,84.0
00894,85.0
01139,86.0
01152,87.0
00663,88.0
01061,89.0
00684,90.0
05339,91.0
01113,92.0
01101,93.0
01067,94.0
01052,95.0
01046,96.0
01066,97.0
01123,98.0
01087,99.0
01035,100.0
01149,101.0
01005,102.0
01158,103.0
01108,104.0
01037,105.0
01138,106.0
01082,107.0
01089,108.0
01068,109.0
01151,110.0
01131,111.0
00641,112.0
01010,113.0
01172,114.0
00727,115.0
01059,116.0
00652,117.0
01072,118.0
01063,119.0
00691,120.0
01129,121.0
01051,122.0
01080,123.0
01144,124.0
01159,125.0
01023,126.0
05342,127.0
01036,128.0
01069,129.0
01105,130.0
01019,131.0
05404,132.0
01120,133.0
01192,134.0
01188,135.0
05524,136.0
01185,137.0
01190,138.0
01191,139.0
01189,140.0
01186,141.0
01187,142.0
01030,143.0
01085,144.0
05597,145.0
05366,146.0
05473,147.0
05328,148.0
05604,149.0
05609,150.0
05608,151.0
05611,152.0
05607,153.0
05605,154.0
01004,155.0
00629,156.0
00700,157.0
01038,158.0
01155,159.0
00722,160.0
01057,161.0
01031,162.0
01049,163.0
01008,164.0
00655,165.0
05438,166.0
00695,167.0
05268,168.0
01097,169.0
05435,170.0
05390,171.0
05336,172.0
05517,173.0
05229,174.0
05299,175.0
05217,176.0
05420,177.0
05364,178.0
05171,179.0
05533,180.0
05091,181.0
05529,182.0
01111,183.0
05566,184.0
05286,185.0
05492,186.0
05542,187.0
05567,188.0
05509,189.0
05568,190.0
05534,191.0
05309,192.0
00837,193.0
05389,194.0
05411,195.0
05089,196.0
05545,197.0
05570,198.0
05377,199.0
05531,200.0
05393,201.0
05569,202.0
05199,203.0
05571,204.0
05521,205.0
05445,206.0
05470,207.0
05573,208.0
00817,209.0
05269,210.0
05370,211.0
05572,212.0
05495,213.0
05471,214.0
05574,215.0
05575,216.0
05580,217.0
05563,218.0
05583,219.0
05578,220.0
05558,221.0
05581,222.0
05469,223.0
05099,224.0
01175,225.0
05115,226.0
05548,227.0
05584,228.0
05543,229.0
05585,230.0
05478,231.0
05321,232.0
05586,233.0
05427,234.0
05587,235.0
05512,236.0
05576,237.0
05271,238.0
00875,239.0
05380,240.0
05588,241.0
05577,242.0
05555,243.0
05589,244.0
05488,245.0
05596,246.0
00409,247.0
05456,248.0
05598,249.0
05557,250.0
05444,251.0
05408,252.0
05600,253.0
05599,254.0
05602,255.0
05601,256.0
05579,257.0
05594,258.0
05595,259.0
